Date,Post ID,Network,Post Type,Content Type,Profile,Sent by,Link,Post,Impressions,Organic Impressions,Engagement Rate (per Impression),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Post Clicks (All),year,quarter,month,day,hour,minute,weekdays,Engagement Ratio,CTR,Reactions Ratio,Comments Ratio,Shares Ratio,Likes Ratio,Average Engagement Rate,Organic Impression Share,Post Length,Interaction Diversity,sum_of_reactions_comments_shares_per_engagement,Engagements_Class
2018-02-04 09:00:00,6365826056204677120,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6365826056083034112,today worldcancerday remember consistently make healthy lifestyle choices reduce chance cancer stay healthy stay wealthy wecanican,17.0,17.0,152.94,26.0,23.0,23.0,1.0,1.0,5.88,1.0,1.0,2018,1,2,4,9,0,6,1.5294117647058822,0.3458823529411765,0.8846153846153846,0.038461538461538464,0.038461538461538464,0.8846153846153846,50.445514845230576,2.4783223332267656e-06,130,0.9615384615384616,0.9615384615384616,-1
2018-02-05 09:00:00,6366188446867877888,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6366188446750437376,motivationmonday struggling finishing task week try something different get different result,5.0,5.0,740.0,37.0,36.0,36.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,5,9,0,0,7.4,0.0,0.972972972972973,0.0,0.02702702702702703,0.972972972972973,50.445514845230576,7.289183333019898e-07,92,1.0,1.0,-1
2018-02-06 09:00:00,6366550870066294784,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6366550869978214400,careertip human relationship management one best skills take height career learn hone master,4.0,4.0,475.0,19.0,18.0,18.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,6,9,0,1,4.75,0.0,0.9473684210526315,0.0,0.05263157894736842,0.9473684210526315,50.445514845230576,5.831346666415919e-07,92,1.0,1.0,-1
2018-02-06 10:39:00,6366575885792931841,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6366575885688074240,love air join us twitter pm thursday february discuss getting years valentines gifts fola folayan,6.0,6.0,350.0,21.0,20.0,20.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,6,10,39,1,3.5,0.0,0.9523809523809523,0.0,0.047619047619047616,0.9523809523809523,50.445514845230576,8.747019999623878e-07,97,1.0,1.0,-1
2018-02-06 14:00:00,6366626348215128065,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6366626348122861569,jambtip breaking study time smaller chunks helps assimilate better,3.0,3.0,533.33,16.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,6,14,0,1,5.333333333333333,0.0,0.9375,0.0,0.0625,0.9375,50.445514845230576,4.373509999811939e-07,66,1.0,1.0,-1
2018-02-06 18:29:00,6366694204554436608,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6366694204441182208,internet huge many wonderful uses make sure youre making staying safe online saferinternetday,3.0,3.0,733.33,22.0,16.0,16.0,5.0,1.0,0.0,0.0,0.0,2018,1,2,6,18,29,1,7.333333333333333,0.0,0.7272727272727273,0.22727272727272727,0.045454545454545456,0.7272727272727273,50.445514845230576,4.373509999811939e-07,93,1.0,1.0,-1
2018-02-07 11:10:00,6366946005748895744,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6366946005669212161,gift would make years valentines day special,3.0,3.0,466.67,14.0,9.0,9.0,4.0,1.0,0.0,0.0,0.0,2018,1,2,7,11,10,2,4.666666666666667,0.0,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.6428571428571429,50.445514845230576,4.373509999811939e-07,44,1.0,1.0,-1
2018-02-07 11:40:00,6366953478182494208,LinkedIn,Post,Photo,Stanbic IBTC,Aramide Salami,https://linkedin.com/feed/update/urn:li:activity:6366953477960196096,looking grow agric business modern age agricsocialmediaweek happening february theagrictakeover,3.0,3.0,333.33,10.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,7,11,40,2,3.3333333333333335,0.0,0.9,0.0,0.1,0.9,50.445514845230576,4.373509999811939e-07,95,1.0,1.0,0
2018-02-07 14:36:00,6366997831160516608,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6366997831064055808,expensive gift youve given received valentine wealthwednesday,6.0,6.0,200.0,12.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,7,14,36,2,2.0,0.0,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,50.445514845230576,8.747019999623878e-07,61,1.0,1.0,-1
2018-02-07 14:50:00,6367001301401817088,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6367001301317926912,valentines day week everyone wealthwednesday well talking second best part giving receiving gifts dont get us wrong gifts great best part thought comes gift intent make someone feel special,4.0,4.0,450.0,18.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,7,14,50,2,4.5,0.0,0.9444444444444444,0.0,0.05555555555555555,0.9444444444444444,50.445514845230576,5.831346666415919e-07,189,1.0,1.0,-1
2018-02-07 15:00:00,6367003908346298368,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6367003908249829376,gifts valuable always good idea take care really obviously expensive gifts one way careful another keeping safe allow us recommend third option insuring wealthwednesday,4.0,4.0,225.0,9.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,7,15,0,2,2.25,0.0,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888,50.445514845230576,5.831346666415919e-07,168,1.0,1.0,0
2018-02-07 15:10:00,6367006336504381440,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6367006336407920641,know jewellery expensive items arent automatically covered homeowners policy offchance experience loss said items home cause loss specifically mentioned policy may covered compensated thats help protect valued possessions especially received one loves receive really expensive gifts valentines day lets make priceless protecting gift memories insurance policy call email us via insurancesolutionstanbicibtccom today wealthwednesday,4.0,4.0,675.0,27.0,25.0,25.0,1.0,1.0,0.0,0.0,0.0,2018,1,2,7,15,10,2,6.75,0.0,0.9259259259259259,0.037037037037037035,0.037037037037037035,0.9259259259259259,50.445514845230576,5.831346666415919e-07,431,1.0,1.0,-1
2018-02-08 09:00:00,6367275626302361600,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6367275626168143872,moneysafe cheque signature forging still happen keep cheques safe secure prevent getting wrong hands,3.0,3.0,266.67,8.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,8,9,0,3,2.6666666666666665,0.0,0.875,0.0,0.125,0.875,50.445514845230576,4.373509999811939e-07,100,1.0,1.0,0
2018-02-08 10:21:00,6367296140060217344,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6367296139963748352,people registering agric social media week event happening theagrictakeover,3.0,3.0,433.33,13.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,8,10,21,3,4.333333333333333,0.0,0.9230769230769231,0.0,0.07692307692307693,0.9230769230769231,50.445514845230576,4.373509999811939e-07,75,1.0,1.0,-1
2018-02-08 10:30:00,6367298421916778496,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6367298421820317696,participants agric social media week event theagrictakeover stanbicibtc,5.0,5.0,260.0,13.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,8,10,30,3,2.6,0.0,0.9230769230769231,0.0,0.07692307692307693,0.9230769230769231,50.445514845230576,7.289183333019898e-07,71,1.0,1.0,-1
2018-02-08 10:38:00,6367300453276934144,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6367300453159497729,prince ade ajayi national coordinator cfil giving opening speech agric social media week theagrictakeover stanbicibtc,6.0,6.0,300.0,18.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,8,10,38,3,3.0,0.0,0.9444444444444444,0.0,0.05555555555555555,0.9444444444444444,50.445514845230576,8.747019999623878e-07,117,1.0,1.0,-1
2018-02-08 10:54:00,6367304373642547202,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6367304373558661120,st panel session event talking climate change affects agriculture theagrictakeover stanbicibtc,8.0,8.0,187.5,15.0,14.0,14.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,8,10,54,3,1.875,0.0,0.9333333333333333,0.0,0.06666666666666667,0.9333333333333333,50.445514845230576,1.1662693332831839e-06,94,1.0,1.0,-1
2018-02-08 14:00:00,6367351184616931328,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6367351184478523393,throwbackthursday jambtips emoji best describes reaction,5.0,5.0,360.0,18.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,8,14,0,3,3.6,0.0,0.9444444444444444,0.0,0.05555555555555555,0.9444444444444444,50.445514845230576,7.289183333019898e-07,56,1.0,1.0,-1
2018-02-09 09:00:00,6367638007058616321,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6367638006974730240,insurance dont tell stories need us rather well walk quick easy insurance services call us send mail insurancesolutionstanbicibtccom get started,4.0,4.0,550.0,22.0,21.0,21.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,9,9,0,4,5.5,0.0,0.9545454545454546,0.0,0.045454545454545456,0.9545454545454546,50.445514845230576,5.831346666415919e-07,144,1.0,1.0,-1
2018-02-12 10:44:00,6368751420203683840,LinkedIn,Post,Link,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6368751420186910720,motivationmonday watch kechi okwuchi share shouldnt let circumstances break rather let strengthen link httpbitlysoual,4.0,4.0,575.0,23.0,22.0,22.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,12,10,44,0,5.75,0.0,0.9565217391304348,0.0,0.043478260869565216,0.9565217391304348,50.445514845230576,5.831346666415919e-07,117,1.0,1.0,-1
2018-02-12 11:16:00,6368759394812907520,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6368759394703859712,announcement listed funds fmdq otc exchange today money market fund bond fund dollar fund stanbic ibtc money market fund net asset value approximately n b currently nigerias largest openended mutual fund invested fixed deposits treasury bills guaranteed commercial papers stanbic ibtc bond fund invests mix government bonds money market instruments ensure liquidity suitable investors low risk appetite stanbic ibtc dollar fund offers savvy investors opportunity invest foreign currency denominated securities optimize investors returns products please email assetmanagementstanbicibtccom call mutualfunds also get started visiting httpbitlyexrtq movingforward neverstopinvesting,33.0,33.0,224.24,74.0,69.0,69.0,2.0,1.0,6.06,2.0,2.0,2018,1,2,12,11,16,0,2.242424242424242,0.18363636363636363,0.9324324324324325,0.02702702702702703,0.013513513513513514,0.9324324324324325,50.445514845230576,4.810860999793133e-06,679,0.972972972972973,0.972972972972973,1
2018-02-13 09:00:00,6369087567261954048,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6369087567152898048,termoftheday procurement process preparing processing delivering demands buying goods services well approval payments,7.0,7.0,228.57,16.0,14.0,14.0,1.0,1.0,0.0,0.0,0.0,2018,1,2,13,9,0,1,2.2857142857142856,0.0,0.875,0.0625,0.0625,0.875,50.445514845230576,1.0204856666227857e-06,117,1.0,1.0,-1
2018-02-13 14:00:00,6369163151572815874,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6369163151400849408,jambtip seize opportunity participate optional mock exam organized jamb help prepare mind day,6.0,6.0,266.67,16.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,13,14,0,1,2.6666666666666665,0.0,0.9375,0.0,0.0625,0.9375,50.445514845230576,8.747019999623878e-07,93,1.0,1.0,-1
2018-02-13 14:26:00,6369169595131056128,LinkedIn,Post,Photo,Stanbic IBTC,Aramide Salami,https://linkedin.com/feed/update/urn:li:activity:6369169594900377600,icymi head stanbic ibtc global markets middle discussing opportunities regional global trade financing fellow professionals recently held west africa trade export finance conference,10.0,10.0,300.0,30.0,27.0,27.0,0.0,1.0,20.0,2.0,2.0,2018,1,2,13,14,26,1,3.0,2.0,0.9,0.0,0.03333333333333333,0.9,50.445514845230576,1.4578366666039797e-06,181,0.9333333333333333,0.9333333333333333,-1
2018-02-13 17:37:00,6369217659023826944,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6369217660227584000,valentines day show true love let loved ones pick gift stanbic ibtc gift card information call email customercarenigeriastanbicibtccom today,8.0,8.0,337.5,27.0,25.0,25.0,0.0,2.0,0.0,0.0,0.0,2018,1,2,13,17,37,1,3.375,0.0,0.9259259259259259,0.0,0.07407407407407407,0.9259259259259259,50.445514845230576,1.1662693332831839e-06,140,1.0,1.0,-1
2018-02-14 12:11:00,6369498057901428736,LinkedIn,Post,Photo,Stanbic IBTC,Aramide Salami,https://linkedin.com/feed/update/urn:li:activity:6369498057775599616,everyday loves day today go step express love appreciation special someone life happy valentines day us stanbic ibtc,8.0,8.0,150.0,12.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,14,12,11,2,1.5,0.0,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,50.445514845230576,1.1662693332831839e-06,116,1.0,1.0,-1
2018-02-14 14:45:00,6369536766285799424,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6369536766109634560,moments life want tell care much mean us today presents opportunity many experience moments valentines day wealthwednesday,15.0,15.0,93.33,14.0,12.0,12.0,0.0,1.0,6.67,1.0,1.0,2018,1,2,14,14,45,2,0.9333333333333333,0.44466666666666665,0.8571428571428571,0.0,0.07142857142857142,0.8571428571428571,50.445514845230576,2.1867549999059694e-06,122,0.9285714285714286,0.9285714285714286,-1
2018-02-14 14:55:00,6369539271665209344,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6369539271568748544,family means lot people family indeed everything remember said youll love forever help keep promise working leave lasting legacee place dont mean scare legacee place another great way show love simple writing wealthwednesday,14.0,14.0,157.14,22.0,19.0,19.0,0.0,1.0,14.29,2.0,2.0,2018,1,2,14,14,55,2,1.5714285714285714,1.0207142857142857,0.8636363636363636,0.0,0.045454545454545456,0.8636363636363636,50.445514845230576,2.0409713332455715e-06,224,0.9090909090909091,0.9090909090909091,-1
2018-02-14 15:01:00,6369540785876062208,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6369540785800564736,sure say love legacee year talk us via information leave legacee dont forget throw chocolates flowers lovely dinner happy valentines day wealthwednesday,7.0,7.0,285.71,20.0,19.0,19.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,14,15,1,2,2.857142857142857,0.0,0.95,0.0,0.05,0.95,50.445514845230576,1.0204856666227857e-06,152,1.0,1.0,-1
2018-02-15 11:13:00,6369845814868746240,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6369845814763888640,keeping moneysafe goal,5.0,5.0,180.0,9.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,15,11,13,3,1.8,0.0,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888,50.445514845230576,7.289183333019898e-07,22,1.0,1.0,0
2018-02-15 14:37:00,6369897281214382081,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6369897281071775744,keep season love going luxury dinner boat cruise could get book february call emailcustomercarenigeriastanbicibtccom reservations,6.0,6.0,283.33,17.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,15,14,37,3,2.8333333333333335,0.0,0.9411764705882353,0.0,0.058823529411764705,0.9411764705882353,50.445514845230576,8.747019999623878e-07,129,1.0,1.0,-1
2018-02-15 16:08:00,6369920028137136128,LinkedIn,Post,Photo,Stanbic IBTC,Aramide Salami,https://linkedin.com/feed/update/urn:li:activity:6369920028070027264,wishing happiness prosperity year dog cny chinesenewyear,8.0,8.0,275.0,22.0,20.0,20.0,0.0,2.0,0.0,0.0,0.0,2018,1,2,15,16,8,3,2.75,0.0,0.9090909090909091,0.0,0.09090909090909091,0.9090909090909091,50.445514845230576,1.1662693332831839e-06,56,1.0,1.0,-1
2018-02-17 14:00:00,6370612630566035456,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6370612630322757632,jambtip peer study groups avenues learn others focus join one,9.0,9.0,366.67,33.0,31.0,31.0,0.0,2.0,0.0,0.0,0.0,2018,1,2,17,14,0,5,3.6666666666666665,0.0,0.9393939393939394,0.0,0.06060606060606061,0.9393939393939394,50.445514845230576,1.3120529999435818e-06,61,1.0,1.0,-1
2018-02-19 11:24:00,6371298195376611328,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6371298195305299969,motivationmonday time one thing cant buy back already third week second month year keeping track set goals,13.0,13.0,184.62,24.0,20.0,20.0,2.0,2.0,0.0,0.0,0.0,2018,1,2,19,11,24,0,1.8461538461538463,0.0,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.8333333333333334,50.445514845230576,1.8951876665851736e-06,106,1.0,1.0,-1
2018-02-20 14:00:00,6371699837380939776,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6371699837234135040,jambtip prevent stress delay examination day get know center get beforehand,6.0,6.0,200.0,12.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,20,14,0,1,2.0,0.0,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,50.445514845230576,8.747019999623878e-07,75,1.0,1.0,-1
2018-02-20 15:00:00,6371714979183280128,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6371714979095212033,thankstosocialmedia billion people closer ever smwlagos,5.0,5.0,300.0,15.0,14.0,14.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,20,15,0,1,3.0,0.0,0.9333333333333333,0.0,0.06666666666666667,0.9333333333333333,50.445514845230576,7.289183333019898e-07,55,1.0,1.0,-1
2018-02-21 08:44:00,6371982747040313344,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6371982746973196289,cvv pin personal stay moneysafe share anyone,6.0,6.0,333.33,20.0,19.0,19.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,21,8,44,2,3.3333333333333335,0.0,0.95,0.0,0.05,0.95,50.445514845230576,8.747019999623878e-07,44,1.0,1.0,-1
2018-02-21 10:49:00,6372014069607649280,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6372014069465051136,thankstosocialmedia reach loved ones instant social media brought closer loved ones smwlagos,6.0,6.0,183.33,11.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,21,10,49,2,1.8333333333333333,0.0,0.9090909090909091,0.0,0.09090909090909091,0.9090909090909091,50.445514845230576,8.747019999623878e-07,92,1.0,1.0,0
2018-02-21 12:00:00,6372031993928040448,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6372031993818988544,know employer remit pension payments later seven days salary paid wealthwednesday beyond fact making pension contributions compulsory nigeria contributions serve great place start planning towards retirement deserve best advice become deliberate contributing towards pension tips make happen monitor account several easy options help monitor inflows pension account monitoring helps determine contributions account consistent adequate fund retirement dream wealthwednesday,18.0,18.0,150.0,27.0,26.0,26.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,21,12,0,2,1.5,0.0,0.9629629629629629,0.0,0.037037037037037035,0.9629629629629629,50.445514845230576,2.6241059998871635e-06,472,1.0,1.0,-1
2018-02-21 12:07:00,6372033815149375488,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6372033815703015424,plan write work towards goal heres link pension calculator help forecast plan right httpbitlysiqgic using plan current monthly payment sufficient fund retirement may need augment amount employer remits making additional voluntary contributions need learn saving towards retirement please call us email pensionsolutionstanbicibtccom gurus available answer questions wealthwednesday,12.0,12.0,150.0,18.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,21,12,7,2,1.5,0.0,0.9444444444444444,0.0,0.05555555555555555,0.9444444444444444,50.445514845230576,1.7494039999247757e-06,380,1.0,1.0,-1
2018-02-21 17:26:00,6372114114562662400,LinkedIn,Post,Photo,Stanbic IBTC,Aramide Salami,https://linkedin.com/feed/update/urn:li:activity:6372114114453602304,lets connect engage years lagos social media week february march smwlagos,6.0,6.0,583.33,35.0,32.0,32.0,1.0,2.0,0.0,0.0,0.0,2018,1,2,21,17,26,2,5.833333333333333,0.0,0.9142857142857143,0.02857142857142857,0.05714285714285714,0.9142857142857143,50.445514845230576,8.747019999623878e-07,73,1.0,1.0,-1
2018-02-22 07:00:00,6372318882681753600,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6372318882589483008,partnership icbc helped clients realize tremendous growth opportunities across chinaafrica corridor let us partner driving growth continent call home,7.0,7.0,171.43,12.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,2018,1,2,22,7,0,3,1.7142857142857142,0.0,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,50.445514845230576,1.0204856666227857e-06,149,1.0,1.0,-1
2018-02-22 10:19:00,6372369098403385344,LinkedIn,Post,Photo,Stanbic IBTC, ,https://linkedin.com/feed/update/urn:li:activity:6372369098323697664,letters dms share letter writing experiences us things changed thankstosocialmedia smwlagos,7.0,7.0,157.14,11.0,7.0,7.0,3.0,1.0,0.0,0.0,0.0,2018,1,2,22,10,19,3,1.5714285714285714,0.0,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.6363636363636364,50.445514845230576,1.0204856666227857e-06,91,1.0,1.0,0
